gst.prod.dl.playstation.net

36.131.221.203	(中国辽宁沈阳 移动)
221.180.210.74	(中国辽宁沈阳 移动)
221.180.211.17	(中国辽宁沈阳 移动)
1.180.27.139	(中国内蒙古呼和浩特 电信)
1.180.214.245	(中国内蒙古呼和浩特 电信)
111.56.82.199	(中国内蒙古呼和浩特 移动)
125.72.127.152	(中国青海西宁 电信)
223.221.177.173	(中国青海西宁 电信)
116.177.226.17	(中国青海西宁 联通)
116.177.240.115	(中国青海西宁 联通)
140.249.98.109	(中国山东济南 电信)
150.138.233.58	(中国山东济南 电信)
116.196.129.228	(中国山东济南 联通)
116.196.130.62	(中国山东济南 联通)
116.196.155.18	(中国山东济南 联通)
119.188.173.193	(中国山东济南 联通)
120.221.107.194	(中国山东济南 移动)
60.211.209.80	(中国山东济宁 联通)
140.249.238.166	(中国山东青岛 电信)
119.167.131.189	(中国山东青岛 联通)
120.220.221.210	(中国山东青岛 移动)
120.221.23.96	(中国山东青岛 移动)
120.222.240.23	(中国山东青岛 移动)
222.132.143.105	(中国山东泰安 联通)
120.222.189.137	(中国山东威海 移动)
119.176.28.147	(中国山东潍坊 联通)
120.220.231.89	(中国山东潍坊 移动)
150.138.93.72	(中国山东枣庄 电信)
120.220.82.100	(中国山东枣庄 移动)
60.210.9.154	(中国山东淄博 联通)
61.162.100.127	(中国山东淄博 联通)
222.134.66.236	(中国山东淄博 联通)
120.222.143.54	(中国山东淄博 移动)
60.221.71.203	(中国山西临汾 联通)
1.71.87.137	(中国山西太原 电信)
183.201.85.83	(中国山西太原 移动)
183.201.202.191	(中国山西太原 移动)
183.201.238.55	(中国山西太原 移动)
183.201.241.24	(中国山西太原 移动)
124.163.196.202	(中国山西忻州 联通)
123.138.255.5	(中国陕西安康 联通)
113.142.27.216	(中国陕西西安 电信)
113.142.73.7	(中国陕西西安 电信)
113.142.167.54	(中国陕西西安 电信)
117.33.164.69	(中国陕西西安 电信)
113.201.242.78	(中国陕西西安 联通)
112.46.49.140	(中国陕西西安 移动)
112.46.225.57	(中国陕西西安 移动)
113.201.158.198	(中国陕西咸阳 联通)
36.163.195.92	(中国陕西咸阳 移动)
113.142.209.182	(中国陕西延安 电信)
61.170.65.10	(中国上海 电信)
61.170.82.68	(中国上海 电信)
61.170.88.171	(中国上海 电信)
61.170.101.155	(中国上海 电信)
180.163.116.73	(中国上海 电信)
180.163.117.65	(中国上海 电信)
180.163.118.16	(中国上海 电信)
112.64.213.223	(中国上海 联通)
211.95.35.134	(中国上海 联通)
117.144.99.193	(中国上海 移动)
211.136.106.220	(中国上海 移动)
182.131.21.219	(中国四川成都 电信)
182.140.210.183	(中国四川成都 电信)
182.140.222.97	(中国四川成都 电信)
222.212.210.83	(中国四川成都 电信)
101.206.162.82	(中国四川成都 联通)
